,cycle,capacity,SoH,resistance,CCCT,CVCT,CS_Name
0,1.0,1.126384506847021,0.8251749788496755,0.0940094217658042,6613.059052345847,2251.4980328565025,CS2_35
1,2.0,1.1261598161259705,0.8159651061023845,0.0916610211133956,6612.402800333909,2231.9670516618344,CS2_35
2,3.0,1.125965708259707,0.8159769853970686,0.0946486890316009,6608.560673446514,2228.216959367964,CS2_35
3,4.0,1.1185076863180938,0.8251939106307753,0.0914128422737121,6604.732221556416,2247.561061407276,CS2_35
4,5.0,1.1172100749182547,0.806900151265794,0.0914128422737121,6629.211048845966,2077.692393289035,CS2_35
5,6.0,1.1137535513150445,0.7977170830305256,0.0884163826704025,6619.934535154542,2042.6783893326428,CS2_35
6,7.0,1.0988181436744804,0.8068184901581426,0.0923051163554191,6519.9833041777165,2166.8899870380774,CS2_35
7,8.0,1.096180326376592,0.7976191388042235,0.0930307656526565,6455.685387555532,2159.8586623985902,CS2_35
8,9.0,1.0898711301696573,0.7976266593617038,0.0908498615026474,6427.49820538958,2151.903192905782,CS2_35
9,10.0,1.0875822954661674,0.7884539791421473,0.0915781408548355,6405.686006724049,2144.327434464736,CS2_35
10,11.0,1.0947478949707463,0.7977044150319033,0.0906857252120971,6392.936184905033,2104.736813184776,CS2_35
11,12.0,1.0955682863426888,0.7885375083130615,0.0897949114441871,6467.884832546115,2019.661805744312,CS2_35
12,13.0,1.0954329180709088,0.7885330195099428,0.0889859497547149,6483.685023578772,1983.5876874668463,CS2_35
13,14.0,1.095223222083344,0.7885725094618283,0.0874469503760337,6488.046996918478,1969.242195511877,CS2_35
14,15.0,1.0948040555332583,0.7794007633199274,0.0874469503760337,6489.313992611569,1959.5709962826804,CS2_35
15,16.0,1.0944448817959302,0.7794356242667275,0.0868726819753646,6492.238834527612,1934.775282073388,CS2_35
16,17.0,1.0940442107208557,0.7794268956199938,0.0875260159373283,6494.006025817071,1922.338226298627,CS2_35
17,18.0,1.0934614215105336,0.7794357118928951,0.0873680263757705,6493.727088454296,1911.6202167109004,CS2_35
18,19.0,1.0927332194072783,0.7794310565869689,0.088097482919693,6489.351767718763,1905.245126950671,CS2_35
19,20.0,1.0888536787324268,0.7794298234881514,0.086637258529663,6486.415079302707,1900.4328551335784,CS2_35
20,21.0,1.0883814134478704,0.7794208829449187,0.086637258529663,6482.556866845087,1898.2456238602167,CS2_35
21,22.0,1.0879949624513223,0.7794677494185519,0.0859051570296287,6479.27651738486,1887.777286718076,CS2_35
22,23.0,1.0876290188457574,0.7794606650862597,0.0873680263757705,6477.37135720448,1880.7000902368163,CS2_35
23,24.0,1.0872335492167664,0.7794426158211041,0.0850178673863411,6476.982651224593,1870.512688431947,CS2_35
24,25.0,1.086799750378054,0.7794423698919546,0.0865590572357177,6472.948504800443,1871.0752651812509,CS2_35
25,26.0,1.086397688089526,0.7794686025386475,0.0865590572357177,6467.857551779074,1870.762968171039,CS2_35
26,27.0,1.0764608398671511,0.77019537801757,0.0873680263757705,6462.951588027936,1843.5745287944449,CS2_35
